airbnb_listing_id,adr,price_median,price_std,n_dates,first_date,last_date,period_days,occupancy_proxy,est_annual_revenue,est_revenue_observed_period
34866449,485.58734939759034,400.0,124.13755770487727,166,2025-01-18,2025-04-20,93,1.0,177239.38253012046,80607.5
35481220,754.5026611894274,700.0,193.82582642776012,227,2025-01-07,2025-03-31,84,1.0,275393.471334141,171272.10409
35826155,590.0,590.0,0.0,20,2025-04-01,2025-04-20,20,1.0,215350.0,11800.0
35912580,327.8157894736842,350.0,25.38764890507693,38,2025-03-05,2025-04-20,47,0.8085106382978723,96740.53191489361,12457.0
35934720,500.0,500.0,0.0,10,2025-02-28,2025-03-09,10,1.0,182500.0,5000.0
36032020,598.8,550.0,148.18135606652507,50,2025-02-20,2025-04-15,55,0.9090909090909091,198692.72727272724,29939.999999999996
36632832,576.9188481675393,450.0,173.75052430283029,191,2025-01-15,2025-04-20,96,1.0,210575.37958115185,110191.5
36698654,1964.5949367088608,1900.0,555.5764047478041,79,2025-01-18,2025-04-06,79,1.0,717077.1518987342,155203.0
36908385,650.016129032258,455.0,267.0162543057229,62,2025-02-15,2025-03-31,45,1.0,237255.88709677418,40301.0
37118794,993.1920529801324,1000.0,19.76283219641967,151,2025-02-08,2025-04-20,72,1.0,362515.0993377483,149972.0
37153670,386.8018867924528,400.0,83.46985649755236,53,2025-01-25,2025-04-19,85,0.6235294117647059,88031.5588235294,20500.5
37347085,492.7219917012448,492.0,5.6437182793436405,241,2025-01-19,2025-04-20,92,1.0,179843.52697095435,118746.0
37487828,467.359649122807,380.0,166.72340122697221,114,2025-01-15,2025-04-20,96,1.0,170586.27192982455,53279.0
37494985,890.382955,900.0,100.12273158110824,220,2025-01-16,2025-04-20,95,1.0,324989.778575,195884.2501
37708447,791.24,700.0,311.5083417517425,100,2025-02-16,2025-04-20,64,1.0,288802.6,79124.0
37744392,720.9746835443038,680.0,139.6838582391308,79,2025-01-19,2025-04-07,79,1.0,263155.7594936709,56957.0
37989675,418.4761904761905,400.0,38.883555336106255,63,2025-01-30,2025-04-20,81,0.7777777777777778,118800.74074074074,26364.0
